-19.00000954,-130.0499878
-18.99987984,-130.0499878
-18.99821091,-130.0500488
-18.99674416,-130.0501099
-18.99345398,-130.0503235
-18.98939133,-130.0505371
-18.98634529,-130.050705
-18.9820118,-130.0509491
-18.97323418,-130.0514832
-18.96749496,-130.0518341
-18.96105385,-130.0522308
-18.94713974,-130.0531006
-18.94063568,-130.0535278
-18.93066406,-130.054245
-18.91371727,-130.0555725
-18.90614891,-130.0562286
-18.88572502,-130.0579987
-18.86981964,-130.059433
-18.86167336,-130.0601959
-18.84300423,-130.0619659
-18.81990433,-130.0641632
-18.80225754,-130.0658875
-18.78692245,-130.0673676
-18.75788116,-130.069931
-18.74234962,-130.071167
-18.72066498,-130.0726929
-18.68437958,-130.0747681
-18.67163658,-130.0753326
-18.64610481,-130.0763397
-18.60164261,-130.0778809
-18.58722496,-130.0783844
-18.5626297,-130.0792389
-18.51914597,-130.0807953
-18.50043488,-130.0814667
-18.47141838,-130.0825195
-18.4220829,-130.0842896
-18.40387917,-130.0849609
-18.36479568,-130.0863953
-18.31354904,-130.0882721
-18.29426193,-130.088974
-18.2416153,-130.0909119
-18.20181274,-130.0923615
-18.17818069,-130.0932159
-18.13506508,-130.0947876
-18.10879898,-130.0957336
-18.06736374,-130.0972443
-18.02658463,-130.0987244
-17.96763992,-130.1008606
-17.93642235,-130.102005
-17.89888191,-130.1033478
-17.83634377,-130.1055908
-17.80928993,-130.1065674
-17.76220703,-130.1082611
-17.6926651,-130.1107483
-17.66407585,-130.1117706
-17.61973572,-130.1134186
-17.55087662,-130.116333
-17.50065231,-130.1187286
-17.46716118,-130.1203918
-17.40141487,-130.1238098
-17.36810303,-130.1255798
-17.30791664,-130.128891
-17.24535751,-130.1324158
-17.20991135,-130.1344604
-17.15403366,-130.1377411
-17.06843758,-130.1429291
-16.93083763,-130.1517029
-16.89923096,-130.1538391
-16.82925224,-130.1587982
-16.79750633,-130.1612396
-16.75002861,-130.1650543
-16.72074509,-130.167511
-16.6807766,-130.1709442
-16.59734917,-130.1784515
-16.55241394,-130.1826477
-16.5007,-130.1876373
-16.43968773,-130.1937103
-16.34617233,-130.2033997
-16.28552246,-130.2100372
-16.19149971,-130.2211456
-16.15591812,-130.2256165
-16.11886787,-130.230423
-15.99106789,-130.2480011
-15.94758415,-130.2542267
-15.9137888,-130.2590637
-15.83651829,-130.2699585
-15.80168819,-130.2747192
-15.72891521,-130.2843475
-15.66507626,-130.2925873
-15.57496071,-130.3040619
-15.53411388,-130.3092804
-15.42830181,-130.3228302
-15.393857,-130.3272552
-15.32225513,-130.3365326
-15.25154305,-130.3457336
-15.15812969,-130.3579559
-15.09304905,-130.3665161
-15.01898289,-130.376297
-14.9592762,-130.384201
-14.90472984,-130.3914337
-14.79577732,-130.4059143
-14.75350571,-130.4115448
-14.6742754,-130.4221039
-14.59580517,-130.4325562
-14.492733,-130.4463196
-14.43049049,-130.4545898
-14.36264706,-130.4636536
-14.3013649,-130.4718323
-14.23481178,-130.4807129
-14.14321613,-130.4929352
-14.05373669,-130.5048676
-14.01024151,-130.5106659
-13.89907169,-130.5254974
-13.84856033,-130.5322266
-13.75978851,-130.5440521
-13.69819164,-130.5522766
-13.5572319,-130.5710449
-13.51735115,-130.5763702
-13.42654514,-130.5884552
-13.37300396,-130.5955658
-13.2853756,-130.6072235
-13.21415615,-130.616684
-13.09597874,-130.6323853
-13.04580307,-130.6390533
-12.9280138,-130.6547089
-12.88619137,-130.6602631
-12.8002739,-130.6716614
-12.6884079,-130.6865082
-12.50607967,-130.7106781
-12.46229076,-130.716507
-12.3862915,-130.7265625
-12.34375858,-130.7321777
-12.30049515,-130.7379303
-12.16196156,-130.7562714
-12.11529922,-130.7624664
-12.04324913,-130.7720184
-11.96508408,-130.7823792
-11.83962727,-130.7988586
-11.79501438,-130.8045959
-11.68198013,-130.8189545
-11.62492657,-130.8260345
-11.54226017,-130.8361359
-11.45631313,-130.8465881
-11.3406353,-130.8607941
-11.26857376,-130.8697205
-11.17418575,-130.8814545
-11.10997868,-130.8894653
-11.02245331,-130.9003448
-10.93889618,-130.9107513
-10.78212357,-130.9302063
-10.73970699,-130.9354706
-10.65150356,-130.9463806
-10.59268284,-130.9536285
-10.5118227,-130.9635925
-10.43151093,-130.9734497
-10.31197834,-130.9880829
-10.2610836,-130.9943237
-10.14228153,-131.0088196
-10.08398151,-131.0158997
-9.97426033,-131.0289917
-9.913861275,-131.036026
-9.792399406,-131.0500488
-9.718461037,-131.0586395
-9.593341827,-131.0732727
-9.546432495,-131.0787506
-9.465892792,-131.0881653
-9.371715546,-131.0991974
-9.25912571,-131.1123657
-9.202608109,-131.1189728
-9.081912994,-131.1330414
-8.988771439,-131.1438599
-8.939480782,-131.1496124
-8.790678024,-131.1668396
-8.737868309,-131.1729584
-8.672446251,-131.1805267
-8.540854454,-131.1957245
-8.488986969,-131.2017212
-8.400032997,-131.2119141
-8.29123497,-131.2241516
-8.182349205,-131.2360382
-8.132927895,-131.2413025
-8.003977776,-131.254837
-7.941692829,-131.261261
-7.84568119,-131.2713013
-7.770295143,-131.2792358
-7.643140793,-131.2926636
-7.576850891,-131.2996979
-7.444535255,-131.313736
-7.393245697,-131.3191528
-7.304217339,-131.3285675
-7.208017826,-131.3387146
-7.092794418,-131.3507996
-7.030107498,-131.3573608
-6.899719238,-131.3709106
-6.836243629,-131.3775024
-6.74490881,-131.3869476
-6.654036045,-131.396286
-6.526612282,-131.4093628
-6.453347683,-131.4168549
-6.308380604,-131.4316254
-6.260766506,-131.4364777
-6.172430992,-131.4454193
-6.087948322,-131.4539642
-5.937803745,-131.4691315
-5.89010191,-131.473938
-5.770395279,-131.4859924
-5.710229874,-131.4920502
-5.614006042,-131.501709
-5.508528233,-131.5123138
-5.385671139,-131.5246582
-5.316560745,-131.5315704
-5.189020157,-131.5443268
-5.1301651,-131.5502319
-4.983990192,-131.5648499
-4.935600281,-131.5696716
-4.764308453,-131.5868073
-4.69208622,-131.5940247
